Temple,+9,Memphis,20230212,155454
Michigan State,+3.5,Ohio State,20230212,155454
Iowa,-12,Minnesota,20230212,155454
Iona,-8,Niagara,20230212,155454
Quinnipiac,-4.5,Canisius,20230212,155454
Youngstown State,-2.5,Cleveland State,20230212,155454
IUPUI,+17.5,Northern Kentucky,20230212,155454
Robert Morris,+4.5,Purdue Fort Wayne,20230212,155454
Purdue,-5,Northwestern,20230212,155454
Marist,+9.5,Siena,20230212,155454
Mount Saint Marys,+5,Fairfield,20230212,155454
Missouri State,-8.5,Evansville,20230212,155454
Wofford,+9.5,UNC Greensboro,20230212,155454
SMU,+6.5,Wichita State,20230212,155454
