Centenary (NJ,NL,Grambling State,20251230,141029
Vermont, -3.5 ,Princeton,20251230,141029
Ohio, -5.5 ,Central Michigan,20251230,141029
Southeastern Louisiana, 8.5 ,Incarnate Word,20251230,141029
Wyoming, -12.5 ,Air Force,20251230,141029
Howard, 19.5 ,Northwestern,20251230,141029
East Tennessee State, -12.5 ,The Citadel,20251230,141029
Penn State-Brandywine,NL,Morgan State,20251230,141029
University at Albany, 19.5 ,South Carolina,20251230,141029
Western Michigan, 10.5 ,Toledo,20251230,141029
Seton Hall, -2.5 ,Marquette,20251230,141029
Florida State, 14.5 ,North Carolina,20251230,141029
Miami (OH, 4.5 ,Bowling Green,20251230,141029
Duquesne, 3.5 ,Davidson,20251230,141029
Temple, 1.5 ,Charlotte,20251230,141029
Pittsburgh, 10.5 ,Miami (FL,20251230,141029
Milwaukee, 21.5 ,Wisconsin,20251230,141029
UMass, 1.5 ,Eastern Michigan,20251230,141029
Huston-Tillotson,NL,Texas Southern,20251230,141029
Buffalo, -6.5 ,Northern Illinois,20251230,141029
South Carolina State, 45.5 ,Tennessee,20251230,141029
Tennessee State, 2.5 ,Tennessee Tech,20251230,141029
Butler, 5.5 ,Creighton,20251230,141029
Saint Mary's, -18.5 ,Pepperdine,20251230,141029
Nevada, 3.5 ,Colorado State,20251230,141029
Utah State, -13.5 ,Fresno State,20251230,141029
Notre Dame, 5.5 ,Stanford,20251230,141029
Louisville, -8.5 ,California,20251230,141029
New Hampshire, 30.5 ,Nebraska,20251230,141029
Gonzaga, -28.5 ,San Diego,20251230,141029
Santa Clara, -12.5 ,Portland,20251230,141029
San Diego State, -9.5 ,San Jose State,20251230,141029
Pacific, 5.5 ,Loyola Marymount,20251230,141029
Washington State, 4.5 ,Seattle,20251230,141029
San Francisco, -4.5 ,Oregon State,20251230,141029
Lincoln (CA,NL,Long Beach State,20251230,141029
New Mexico, 5.5 ,Boise State,20251230,141029
