KYCH,NL,UT Martin,20241107,140726
POINT,NL,North Alabama,20241107,140726
BETH,NL,Bakersfield,20241107,140726
ONEO,NL,Binghamton,20241107,140726
Robert Morris, 7 ,Delaware,20241107,140726
OAKA,NL,Alabama A&M,20241107,140726
Stony Brook, 4.5 ,Central Michigan,20241107,140726
North Carolina A&T, 24 ,Wake Forest,20241107,140726
VULYN,NL,Mercer,20241107,140726
EUREKA,NL,Indiana State,20241107,140726
HCS,NL,Northern Illinois,20241107,140726
Stetson, 4 ,Lindenwood,20241107,140726
WRCT,NL,Quinnipiac,20241107,140726
ERSFF,NL,Citadel,20241107,140726
MISSW,NL,Mississippi Valley State,20241107,140726
PURPAN,NL,Fairleigh Dickinson,20241107,140726
DAVEN,NL,Western Michigan,20241107,140726
Maryland Eastern Shore, 17 ,Penn,20241107,140726
Charleston Southern, 7 ,North Florida,20241107,140726
Southern Miss, 13.5 ,UAB,20241107,140726
Montana State, 17.5 ,Wisconsin,20241107,140726
Niagara, 28 ,Michigan State,20241107,140726
Milwaukee, 5.5 ,Northern Iowa,20241107,140726
Detroit, 23.5 ,Loyola Chicago,20241107,140726
BRYAN,NL,Tennessee Tech,20241107,140726
UAT,NL,Louisiana-Lafayette,20241107,140726
Jacksonville, 22.5 ,Florida,20241107,140726
Southern, 26 ,Iowa,20241107,140726
Florida A&M, 29.5 ,SMU,20241107,140726
Prairie View A&M, 15 ,DePaul,20241107,140726
Omaha, 4 ,Stetson,20241107,140726
Bucknell, -2.5 ,Southern Indiana,20241107,140726
Illinois State, 3.5 ,North Dakota State,20241107,140726
WAYB,NL,North Texas,20241107,140726
BIBL,NL,McNeese State,20241107,140726
Jacksonville State, 1 ,Air Force,20241107,140726
Idaho State, 24 ,USC,20241107,140726
Cal Poly, 15.5 ,California,20241107,140726
Chattanooga, 15.5 ,Saint Mary's,20241107,140726
EVER,NL,Portland State,20241107,140726
UC Davis, -4 ,Idaho,20241107,140726
Central Arkansas, 28.5 ,Utah,20241107,140726
WARWIL,NL,UNC Asheville,20241107,140726
