IU Indy, 14.5 ,Northern Kentucky,20260101,154249
Milwaukee, 5.5 ,Wright State,20260101,154249
Jacksonville, 12.5 ,Lipscomb,20260101,154249
Oral Roberts, 2.5 ,North Dakota,20260101,154249
Green Bay, 7.5 ,Purdue Fort Wayne,20260101,154249
Florida Gulf Coast, -2.5 ,Central Arkansas,20260101,154249
Evansville, 13.5 ,Illinois State,20260101,154249
Valparaiso, 7.5 ,Southern Illinois,20260101,154249
California Baptist, -2.5 ,UT Arlington,20260101,154249
Portland State, 1.5 ,Weber State,20260101,154249
Chattanooga, -1.5 ,UNC Greensboro,20260101,154249
Morehead State, 7.5 ,Lindenwood,20260101,154249
Western Illinois, 14.5 ,Tennessee-Martin,20260101,154249
Southern Indiana, 10.5 ,SIU Edwardsville,20260101,154249
Southern Miss, -7.5 ,Louisiana-Monroe,20260101,154249
UC Irvine, -9.5 ,Cal State Bakersfield,20260101,154249
Cal State Northridge, 3.5 ,UC Davis,20260101,154249
Omaha, 7.5 ,South Dakota State,20260101,154249
Tennessee Tech, 1.5 ,Little Rock,20260101,154249
Northern Arizona, 5.5 ,Montana,20260101,154249
Bradley, 4.5 ,Belmont,20260101,154249
Eastern Kentucky, 5.5 ,Queens University,20260101,154249
Bellarmine, -1.5 ,West Georgia,20260101,154249
Hawai'i, -8.5 ,UC Riverside,20260101,154249
Utah Valley, -4.5 ,Tarleton State,20260101,154249
Utah Tech, 5.5 ,Abilene Christian,20260101,154249
Indiana State, 10.5 ,Northern Iowa,20260101,154249
North Florida, 13.5 ,Austin Peay,20260101,154249
Eastern Illinois, 11.5 ,Southeast Missouri State,20260101,154249
Murray State, -6.5 ,UIC,20260101,154249
Sacramento State, 9.5 ,Idaho State,20260101,154249
Northern Colorado, 2.5 ,Montana State,20260101,154249
UC San Diego, -8.5 ,Cal Poly,20260101,154249
UC Santa Barbara, -4.5 ,Cal State Fullerton,20260101,154249
Georgia Southern,NL,Coastal Carolina,20260101,154249
Oakland,NL,Youngstown State,20260101,154249
Stetson,NL,North Alabama,20260101,154249
Samford,NL,VMI,20260101,154249
