Maryland, 2.5 ,Rutgers,20260215,141635
Utah, 11.5 ,Cincinnati,20260215,141635
UTSA, 14.5 ,Charlotte,20260215,141635
Indiana, 9.5 ,Illinois,20260215,141635
Denver, 2.5 ,Omaha,20260215,141635
Manhattan, -1.5 ,Canisius,20260215,141635
Youngstown State, -3.5 ,Detroit Mercy,20260215,141635
Holy Cross, 3.5 ,Loyola Maryland,20260215,141635
Oakland, 1.5 ,Robert Morris,20260215,141635
Bradley, 3.5 ,Southern Illinois,20260215,141635
South Florida, -4.5 ,Florida Atlantic,20260215,141635
Indiana State, 4.5 ,Valparaiso,20260215,141635
Tulane, 6.5 ,UAB,20260215,141635
Wright State, -7.5 ,Cleveland State,20260215,141635
Fairfield, 4.5 ,Saint Peter's,20260215,141635
North Texas, 2.5 ,Temple,20260215,141635
Merrimack, 1.5 ,Quinnipiac,20260215,141635
Iona, -5.5 ,Niagara,20260215,141635
IU Indy, 6.5 ,Purdue Fort Wayne,20260215,141635
Rider, 8.5 ,Sacred Heart,20260215,141635
Siena, 1.5 ,Marist,20260215,141635
Illinois State, 1.5 ,UIC,20260215,141635
Drake, 9.5 ,Northern Iowa,20260215,141635
Green Bay, 2.5 ,Milwaukee,20260215,141635
Davidson, 4.5 ,Dayton,20260215,141635
Eastern Kentucky, -4.5 ,North Alabama,20260215,141635
Charleston, 2.5 ,Campbell,20260215,141635
Belmont, 1.5 ,Murray State,20260215,141635
Seton Hall, -2.5 ,Butler,20260215,141635
San Francisco, -5.5 ,San Diego,20260215,141635
Towson, 2.5 ,Monmouth,20260215,141635
Oregon State, 6.5 ,Seattle,20260215,141635
