Boston College,-2,Pittsburgh,20220308,161344
North Carolina State,+5,Clemson,20220308,161344
Jacksonville,+2.5,Bellarmine,20220308,161344
Rider,-1,Manhattan,20220308,161344
Georgia Tech,+1.5,Louisville,20220308,161344
Wagner,+3,Bryant,20220308,161344
Canisius,+2.5,Fairfield,20220308,161344
Delaware,-2,UNCW,20220308,161344
Wright State,+1,Northern Kentucky,20220308,161344
Marshall,-3,FIU,20220308,161344
Southern Mississippi,+3.5,UTSA,20220308,161344
UTRGV,+8,California Baptist,20220308,161344
Saint Marys,+12.5,Gonzaga,20220308,161344
North Dakota State,+6.5,South Dakota State,20220308,161344
CSU Bakersfield,-6.5,CSUN,20220308,161344
Quinnipiac,+2.5,Marist,20220308,161344
Chicago State,+12,Utah Valley,20220308,161344
Cal Poly,+5.5,UC Davis,20220308,161344
