team,four,final,champion
Florida (#2),0.6873,0.4104,0.224
Houston (#1),0.6477,0.3742,0.2183
Duke (#3),0.5775,0.2963,0.1587
Auburn (#4),0.5225,0.2481,0.1136
Michigan State (#5),0.4775,0.2175,0.0953
Alabama (#6),0.4225,0.1804,0.0829
Tennessee (#7),0.3523,0.1491,0.0639
Texas Tech (#9),0.3127,0.1239,0.0432
